tile,id
S2A_MSIL1C_20170613T101031_N0205_R022_T33UUP_20170613T101608.SAFE,f602623e-fd82-5a53-ba09-b05ce085e40c
S2A_MSIL1C_20170613T101031_N0205_R022_T34VER_20170613T101025.SAFE,225addc0-3e9f-5415-a5cf-9c1de6ba935a
S2A_MSIL1C_20170617T113321_N0205_R080_T29UPU_20170617T113319.SAFE,69c42c34-643f-5020-a833-a0653408798b
S2A_MSIL1C_20170701T093031_N0205_R136_T35VPK_20170701T093032.SAFE,3c11fdf4-4f22-5670-bf8a-b4f74825c5dd
S2A_MSIL1C_20170704T112111_N0205_R037_T29SND_20170704T112431.SAFE,292fe5b1-6cfa-59c0-a659-fc475666190e
S2A_MSIL1C_20170717T113321_N0205_R080_T29UPA_20170717T113326.SAFE,e4e44785-e34c-5b9a-9e4c-f38a9486f705
S2A_MSIL1C_20170717T113321_N0205_R080_T29UPV_20170717T113326.SAFE,35d9dc3d-2e15-5d39-ae89-f92e6c3e40f2
S2A_MSIL1C_20170720T100031_N0205_R122_T34UDG_20170720T100027.SAFE,b1989784-0637-58b6-a0cc-4d39714cd3d9
S2A_MSIL1C_20170803T094031_N0205_R036_T34TCR_20170803T094046.SAFE,4ae96f45-7287-5a85-9b36-7eda68c4a462
S2A_MSIL1C_20170813T112121_N0205_R037_T29SNC_20170813T112433.SAFE,6b88e382-fc59-54af-b81b-c0b960a68244
S2A_MSIL1C_20170816T095031_N0205_R079_T34UEG_20170816T095031.SAFE,bd2c7cd0-a1a2-565c-a848-15165f2a7ee0
S2A_MSIL1C_20170818T103021_N0205_R108_T32TMT_20170818T103421.SAFE,128cafbd-c58e-504d-922b-f8182befbab4
S2A_MSIL1C_20170827T092031_N0205_R093_T34TFQ_20170827T092029.SAFE,09344b90-0fb8-5684-b8c7-020bf389c81e
S2A_MSIL1C_20170905T095031_N0205_R079_T35VNL_20170905T095028.SAFE,be126df2-2e9a-5e32-ab84-de18aa0017e0
S2A_MSIL1C_20170905T095031_N0205_R079_T35WPN_20170905T095028.SAFE,3318f389-cfd3-5162-9028-8cf0dc79faab
S2A_MSIL1C_20171002T094031_N0205_R036_T34TCR_20171002T094705.SAFE,a37f5a98-a244-5cbc-bf85-d8db54363e4e
S2A_MSIL1C_20171002T094031_N0205_R036_T34TCS_20171002T094705.SAFE,88e8efd6-c584-56c9-b67c-2ec19678d80d
S2A_MSIL1C_20171002T112111_N0205_R037_T29SNB_20171002T113001.SAFE,3c02b080-4a79-565d-bb3e-44537c1b5e29
S2A_MSIL1C_20171002T112111_N0205_R037_T29SNC_20171002T113001.SAFE,48429697-7a39-5a89-bf77-6f569eb853c7
S2A_MSIL1C_20171015T095031_N0205_R079_T33UXP_20171015T095357.SAFE,bb10ffa4-b84a-501f-9932-a39d4811c43a
